MUNICIPIO;ANNO;Coefficients;Mean squared error;Variance score;
OVEJAS;2025;[0.];0;1;100
PACHO;2021;[0.];0;1;100
PACHO;2022;[0.];0;1;100
PACHO;2023;[0.];0;1;100
PACHO;2024;[0.];0;1;100
PACHO;2025;[0.];0;1;100
PAIPA;2021;[-223.37139535];909902.78;0.26;26
PAIPA;2022;[-223.37139286];758252.32;0.33;33
PAIPA;2025;[-164.3874];591690.17;0.39;39
PAIPA;2023;[-223.37135959];649930.56;0.41;41
PAIPA;2024;[-223.37138641];568689.24;0.5;50
PALERMO;2021;[84.29642857];2498.97;0.82;82
PALERMO;2022;[84.29642857];1874.22;0.89;89
PALERMO;2023;[84.29636486];1499.38;0.93;93
PALERMO;2024;[84.29641429];1249.48;0.96;96
PALERMO;2025;[84.29639754];1070.99;0.97;97
PALMIRA;2021;[526.27686047];3932145.38;0.3;30
PALMIRA;2022;[526.27689286];3276787.81;0.38;38
PALMIRA;2023;[526.27691438];2808675.27;0.47;47
PALMIRA;2025;[526.27694167];2184525.21;0.53;53
PALMIRA;2024;[526.27692994];2457590.86;0.55;55
PAMPLONA;2021;[36.32142857];1.01;1;100
PAMPLONA;2022;[36.32142857];0.75;1;100
PAMPLONA;2023;[36.32136486];0.6;1;100
PAMPLONA;2024;[36.32141429];0.5;1;100
PAMPLONA;2025;[36.32139754];0.43;1;100
PASCA;2021;[0.05581395];0.08;0.21;21
PASCA;2022;[0.05582143];0.07;0.27;27
PASCA;2023;[0.05583904];0.06;0.34;34
PASCA;2024;[0.05585775];0.05;0.41;41
PASCA;2025;[0.055875];0.05;0.48;48
PASTO;2021;[3173.27255814];146572602.3;0.29;29
PASTO;2022;[3173.27253571];122143835.3;0.38;38
PASTO;2023;[3173.27256507];104694715.9;0.46;46
PASTO;2025;[3173.27255417];81429223.51;0.52;52
PASTO;2024;[3173.2725414];91607876.45;0.55;55
PATIA;2021;[0.];0;1;100
PATIA;2022;[0.];0;1;100
PATIA;2023;[0.];0;1;100
PATIA;2024;[0.];0;1;100
PATIA;2025;[0.];0;1;100
PAZ DE ARIPORO;2021;[-2.71514286];90.83;0.25;25
PAZ DE ARIPORO;2022;[-2.71516379];72.66;0.42;42
PAZ DE ARIPORO;2023;[-2.71515254];60.55;0.54;54
PAZ DE ARIPORO;2024;[-2.71513793];51.9;0.54;54
PAZ DE ARIPORO;2025;[-2.71512363];45.41;0.62;62
PAZ DE RIO;2021;[5.09285714];85.43;0.42;42
PAZ DE RIO;2022;[5.09285714];64.07;0.57;57
PAZ DE RIO;2023;[5.09287838];51.26;0.6;60
PAZ DE RIO;2024;[5.0929];42.71;0.7;70
PAZ DE RIO;2025;[5.09291803];36.61;0.78;78
PEREIRA;2021;[6278.38430233];1023783679;0.22;22
PEREIRA;2022;[6278.38425];853153065.5;0.28;28
PEREIRA;2023;[6278.3842911];731274056.1;0.34;34
PEREIRA;2024;[6278.38429087];639864799.1;0.41;41
PEREIRA;2025;[6278.384275];568768710.3;0.48;48
PESCA;2021;[72.58928571];631.43;0.93;93
PESCA;2022;[72.58928571];473.57;0.96;96
PESCA;2023;[72.58924324];378.86;0.98;98
PESCA;2024;[72.5892];315.72;0.98;98
PESCA;2025;[72.58916393];270.61;0.99;99
PIAMONTE;2021;[0.];0;1;100
PIAMONTE;2022;[0.];0;1;100
PIAMONTE;2023;[0.];0;1;100
PIAMONTE;2024;[0.];0;1;100
PIAMONTE;2025;[0.];0;1;100
PIEDECUESTA;2021;[21.55885714];1953.1;0.44;44
PIEDECUESTA;2022;[21.55883621];1562.48;0.58;58
PIEDECUESTA;2023;[21.55884746];1302.07;0.7;70
PIEDECUESTA;2024;[21.55886207];1116.06;0.78;78
PIEDECUESTA;2025;[21.55887637];976.55;0.83;83
PIEDRAS;2023;[-28.98044118];17921.44;0.34;34
PIEDRAS;2024;[-28.98047183];14934.54;0.41;41
PIEDRAS;2022;[-43.3113956];18871.62;0.46;46
PIEDRAS;2025;[-28.98045946];12801.03;0.47;47
PIEDRAS;2021;[-77.78947368];13838.04;0.65;65
PIENDAMO - TUNIA;2021;[0.];0;1;100
PIENDAMO - TUNIA;2022;[0.];0;1;100
PIENDAMO - TUNIA;2023;[0.];0;1;100
PIENDAMO - TUNIA;2024;[0.];0;1;100
PIENDAMO - TUNIA;2025;[0.];0;1;100
PITALITO;2021;[192.274];223243.96;0.39;39
PITALITO;2022;[192.27393023];178595.17;0.52;52
PITALITO;2023;[192.27391304];148829.31;0.53;53
PITALITO;2024;[192.27391304];127567.98;0.62;62
PITALITO;2025;[192.27391892];111621.98;0.7;70
PLANETA RICA;2021;[31.37857143];17265.58;0.18;18
PLANETA RICA;2022;[31.37857143];12949.19;0.24;24
PLANETA RICA;2023;[31.37863514];10359.35;0.32;32
PLANETA RICA;2024;[31.37858571];8632.79;0.41;41
PLANETA RICA;2025;[31.37860246];7399.54;0.5;50
PLATO;2021;[0.];0;1;100
PLATO;2022;[0.];0;1;100
PLATO;2023;[0.];0;1;100
PLATO;2024;[0.];0;1;100
PLATO;2025;[0.];0;1;100
POPAYAN;2021;[153.92325581];196241.99;0.39;39
POPAYAN;2022;[153.92328571];163534.99;0.5;50
POPAYAN;2023;[153.92327397];140172.85;0.5;50
POPAYAN;2024;[153.92325053];122651.24;0.59;59
POPAYAN;2025;[153.923225];109023.33;0.66;66
PORE;2021;[0.];0;1;100
PORE;2022;[0.];0;1;100
PORE;2023;[0.];0;1;100
PORE;2024;[0.];0;1;100
PORE;2025;[0.];0;1;100
POTOSI;2021;[0.];0;1;100
POTOSI;2022;[0.];0;1;100
POTOSI;2023;[-4.33641324e-29];0;1;100
POTOSI;2024;[0.];0;1;100
POTOSI;2025;[0.];0;1;100
PRADERA;2021;[-2.];0;1;100
PRADERA;2022;[-2.];0;1;100
PRADERA;2023;[-2.];0;1;100
PRADERA;2024;[-2.];0;1;100
PRADERA;2025;[-2.];0;1;100
PRADO;2021;[0.];0;1;100
PRADO;2022;[0.];0;1;100
PRADO;2023;[0.];0;1;100
PRADO;2024;[0.];0;1;100
PRADO;2025;[0.];0;1;100
PUEBLO NUEVO;2021;[0.];0;1;100
PUEBLO NUEVO;2022;[0.];0;1;100
PUEBLO NUEVO;2023;[0.];0;1;100
PUEBLO NUEVO;2024;[0.];0;1;100
PUEBLO NUEVO;2025;[0.];0;1;100
PUERRES;2021;[389.5];0;1;100
PUERRES;2022;[389.5];0;1;100
PUERRES;2023;[389.5];0;1;100
PUERRES;2024;[389.5];0;1;100
PUERRES;2025;[389.5];0;1;100
PUERTO ASIS;2024;[-96.97916667];138319.26;0.38;38
PUERTO ASIS;2022;[-142.5];158834.9;0.41;41
PUERTO ASIS;2025;[-96.97916667];121029.35;0.45;45
PUERTO ASIS;2023;[-142.5];132362.42;0.51;51
PUERTO ASIS;2021;[-245.1];135675.47;0.53;53
PUERTO BERRIO;2021;[26.02];64503.74;0.13;13
PUERTO BERRIO;2022;[26.02];51602.99;0.14;14
PUERTO BERRIO;2023;[26.02];43002.49;0.17;17
PUERTO BERRIO;2024;[26.02];36859.28;0.19;19
PUERTO BERRIO;2025;[26.02];32251.87;0.23;23
PUERTO BOYACA;2021;[245.89883721];150880.35;0.58;58
PUERTO BOYACA;2022;[245.89885714];125733.63;0.69;69
PUERTO BOYACA;2023;[245.89887671];107771.68;0.77;77
PUERTO BOYACA;2024;[245.89889384];94300.22;0.83;83
PUERTO BOYACA;2025;[245.89890833];83822.42;0.87;87
PUERTO CARRENO;2021;[0.];0;1;100
PUERTO CARRENO;2022;[0.];0;1;100
PUERTO CARRENO;2023;[0.];0;1;100
PUERTO CARRENO;2024;[0.];0;1;100
PUERTO CARRENO;2025;[0.];0;1;100
PUERTO COLOMBIA;2021;[-74.80882353];19224.15;0.55;55
PUERTO COLOMBIA;2025;[-55.80977778];19155.1;0.59;59
PUERTO COLOMBIA;2022;[-74.80883582];15379.32;0.66;66
PUERTO COLOMBIA;2023;[-74.80885408];12816.1;0.74;74
PUERTO COLOMBIA;2024;[-74.80887234];10985.23;0.8;80
PUERTO GAITAN;2021;[-262.13767442];3384728.37;0.17;17
PUERTO GAITAN;2022;[-262.13771429];2820606.97;0.2;20
PUERTO GAITAN;2023;[-262.13775342];2417663.12;0.24;24
PUERTO GAITAN;2024;[-262.13772187];2115455.23;0.29;29
PUERTO GAITAN;2025;[-262.13772083];1880404.65;0.35;35
PUERTO LIBERTADOR;2023;[0.];0;0.6;60
PUERTO LIBERTADOR;2021;[0.];0;1;100
PUERTO LIBERTADOR;2022;[0.];0;1;100
PUERTO LIBERTADOR;2024;[0.];0;1;100
PUERTO LIBERTADOR;2025;[0.];0;1;100
PUERTO LOPEZ;2021;[228.21491525];24932.17;0.89;89
PUERTO LOPEZ;2022;[228.21486207];19945.73;0.92;92
PUERTO LOPEZ;2023;[228.21485294];16621.44;0.95;95
PUERTO LOPEZ;2024;[228.21485928];14246.95;0.96;96
PUERTO LOPEZ;2025;[228.21487091];12466.08;0.97;97
PUERTO NARE;2021;[0.03571429];2403.17;0.25;25
PUERTO NARE;2022;[0.03566102];1802.38;0.32;32
PUERTO NARE;2023;[0.03569231];1441.9;0.39;39
PUERTO NARE;2024;[0.03572881];1201.59;0.47;47
PUERTO NARE;2025;[0.03569588];1029.93;0.54;54
PUERTO RICO;2021;[0.];0;1;100
PUERTO RICO;2022;[0.];0;1;100
PUERTO RICO;2023;[0.];0;1;100
PUERTO RICO;2024;[0.];0;1;100
PUERTO RICO;2025;[0.];0;1;100
PUERTO SALGAR;2021;[-23.78571429];40532.09;0.15;15
PUERTO SALGAR;2022;[-23.78573134];32425.67;0.19;19
PUERTO SALGAR;2023;[-23.78575904];27021.39;0.23;23
PUERTO SALGAR;2024;[-23.78578641];23161.19;0.27;27
PUERTO SALGAR;2025;[-23.78581132];20266.04;0.32;32
PUERTO TEJADA;2021;[122.76860465];302224.32;0.25;25
PUERTO TEJADA;2022;[122.76860714];251853.6;0.32;32
PUERTO TEJADA;2023;[122.76864041];215874.52;0.39;39
PUERTO TEJADA;2024;[122.76861359];188890.2;0.47;47
PUERTO TEJADA;2025;[122.76862083];167902.4;0.54;54
PUERTO TRIUNFO;2022;[-6.63];87.91;0.35;35
PUERTO TRIUNFO;2025;[-3.78857143];75.35;0.46;46
PUERTO TRIUNFO;2023;[-6.63];65.94;0.55;55
PUERTO TRIUNFO;2024;[-6.63];52.75;0.63;63
PUERTO TRIUNFO;2021;[-26.52];0;1;100
PUERTO WILCHES;2021;[62.];0;1;100
PUERTO WILCHES;2022;[62.];0;1;100
PUERTO WILCHES;2023;[62.];0;1;100
PUERTO WILCHES;2024;[62.];0;1;100
PUERTO WILCHES;2025;[62.];0;1;100
PURIFICACION;2022;[-35.89285714];162325.45;0.14;14
PURIFICACION;2023;[-35.89280769];121744.08;0.16;16
PURIFICACION;2024;[-35.89280928];97395.27;0.19;19
PURIFICACION;2025;[-35.89282243];81162.72;0.22;22
PURIFICACION;2021;[-1005.];0;1;100
PURISIMA DE LA CONCEPCION;2021;[0.];0;1;100
PURISIMA DE LA CONCEPCION;2022;[0.];0;1;100
PURISIMA DE LA CONCEPCION;2023;[0.];0;1;100
PURISIMA DE LA CONCEPCION;2024;[0.];0;1;100
PURISIMA DE LA CONCEPCION;2025;[0.];0;1;100
QUIBDO;2021;[53.13823529];59563.95;0.27;27
QUIBDO;2022;[53.13825373];47651.16;0.34;34
QUIBDO;2023;[53.13824034];39709.3;0.42;42
QUIBDO;2024;[53.13821809];34036.54;0.5;50
QUIBDO;2025;[53.13819444];29781.97;0.56;56
QUIMBAYA;2025;[-63.09139459];19440.89;0.51;51
QUIMBAYA;2024;[-63.09138679];23329.07;0.52;52
QUIMBAYA;2022;[-95.53846154];24415.38;0.52;52
QUIMBAYA;2023;[-95.53842857];18311.54;0.64;64
QUIMBAYA;2021;[-184.];0;1;100
QUINCHIA;2025;[1.77050923e-27];0;0.6;60
QUINCHIA;2021;[0.];0;1;100
QUINCHIA;2022;[0.];0;1;100
QUINCHIA;2023;[0.];0;1;100
QUINCHIA;2024;[0.];0;1;100
RAQUIRA;2021;[2.4];0;1;100
RAQUIRA;2022;[2.4];0;1;100
RAQUIRA;2023;[2.4];0;1;100
RAQUIRA;2024;[2.4];0;1;100
RAQUIRA;2025;[2.4];0;1;100
REPELON;2021;[0.];0;1;100
REPELON;2022;[0.];0;1;100
REPELON;2023;[0.];0;1;100
REPELON;2024;[0.];0;1;100
REPELON;2025;[0.];0;1;100
RETIRO;2021;[-8.91790698];1806.53;0.23;23
RETIRO;2024;[-6.31852866];1249.95;0.29;29
RETIRO;2022;[-8.91785714];1505.44;0.3;30
RETIRO;2025;[-6.31850417];1111.06;0.34;34
RETIRO;2023;[-8.91784932];1290.38;0.37;37
RICAURTE;2021;[393.42857143];34905.63;0.87;87
RICAURTE;2022;[393.42849153];26179.23;0.96;96
RICAURTE;2023;[393.42853846];20943.38;0.97;97
RICAURTE;2024;[393.42850847];17452.82;0.98;98
RICAURTE;2025;[393.42852835];14959.56;0.99;99
RIO DE ORO;2024;[-52.5];18742.5;0.33;33
RIO DE ORO;2022;[-105.];22050;0.35;35
RIO DE ORO;2025;[-52.5];15618.75;0.44;44
RIO DE ORO;2023;[-105.];16537.5;0.55;55
RIO DE ORO;2021;[-420.];0;1;100
RIOHACHA;2021;[-26.25232558];50813.13;0.14;14
RIOHACHA;2022;[-26.25228571];42344.27;0.17;17
RIOHACHA;2023;[-26.25224658];36295.09;0.2;20
RIOHACHA;2024;[-26.25227813];31758.21;0.24;24
RIOHACHA;2025;[-26.25227917];28229.52;0.28;28
RIONEGRO;2021;[21.41360465];2816998.47;0.6;60
RIONEGRO;2022;[21.41360714];2347498.72;0.6;60
RIONEGRO;2023;[21.41364041];2012141.76;0.6;60
RIONEGRO;2024;[21.41361359];1760624.04;0.6;60
RIONEGRO;2025;[21.41362083];1564999.15;0.6;60
RIVERA;2022;[-15.875];504.03;0.35;35
RIVERA;2025;[-9.07142857];432.03;0.46;46
RIVERA;2023;[-15.875];378.02;0.55;55
RIVERA;2024;[-15.875];302.42;0.62;62
RIVERA;2021;[-63.5];0;1;100
SABANALARGA;2021;[29.86116279];2280.69;0.57;57
SABANALARGA;2022;[29.86114286];1900.57;0.69;69
SABANALARGA;2023;[29.86112329];1629.06;0.77;77
SABANALARGA;2024;[29.86110616];1425.43;0.82;82
SABANALARGA;2025;[29.86109167];1267.05;0.86;86
SABANETA;2021;[289.60232558];342268.66;0.56;56
SABANETA;2022;[289.60228571];285223.88;0.58;58
SABANETA;2023;[289.60224658];244477.61;0.67;67
SABANETA;2024;[289.60227813];213917.91;0.74;74
SABANETA;2025;[289.60227917];190149.25;0.8;80
SAHAGUN;2021;[4.30457627];619.66;0.2;20
SAHAGUN;2022;[4.30453448];495.73;0.25;25
SAHAGUN;2023;[4.30455882];413.11;0.3;30
SAHAGUN;2024;[4.30452994];354.09;0.36;36
SAHAGUN;2025;[4.30454335];309.83;0.43;43
SALDANA;2021;[9.57118644];365.82;0.48;48
SALDANA;2022;[9.57114655];292.66;0.59;59
SALDANA;2023;[9.57111765];243.88;0.68;68
SALDANA;2024;[9.57109581];209.04;0.75;75
SALDANA;2025;[9.571079];182.91;0.8;80
SAMACA;2021;[-8.5];5355.62;0.13;13
SAMACA;2022;[-8.5];4284.5;0.15;15
SAMACA;2023;[-8.5];3570.42;0.18;18
SAMACA;2024;[-8.5];3060.36;0.22;22
SAMACA;2025;[-8.5];2677.81;0.26;26
SAMANIEGO;2022;[-0.04596774];0.59;0.12;12
SAMANIEGO;2023;[-0.04601351];0.44;0.14;14
SAMANIEGO;2024;[-0.04602632];0.35;0.16;16
SAMANIEGO;2025;[-0.04603059];0.29;0.18;18
SAMANIEGO;2021;[-1.9];0;1;100
SAN ALBERTO;2021;[0.];0;1;100
SAN ALBERTO;2022;[0.];0;1;100
SAN ALBERTO;2023;[0.];0;1;100
SAN ALBERTO;2024;[0.];0;1;100
SAN ALBERTO;2025;[0.];0;1;100
SAN ANDRES;2021;[0.];0;1;100
SAN ANDRES;2022;[0.];0;1;100
SAN ANDRES;2023;[0.];0;1;100
SAN ANDRES;2024;[0.];0;1;100
SAN ANDRES;2025;[0.];0;1;100
SAN ANDRES DE TUMACO;2021;[169.324];74421.8;0.5;50
SAN ANDRES DE TUMACO;2022;[169.32393023];59537.44;0.62;62
SAN ANDRES DE TUMACO;2023;[169.32391304];49614.53;0.72;72
SAN ANDRES DE TUMACO;2024;[169.32391304];42526.74;0.79;79
SAN ANDRES DE TUMACO;2025;[169.32391892];37210.9;0.84;84
SAN BERNARDO DEL VIENTO;2021;[14.47];0;1;100
SAN BERNARDO DEL VIENTO;2022;[14.47];0;1;100
SAN BERNARDO DEL VIENTO;2023;[14.47];0;1;100
SAN BERNARDO DEL VIENTO;2024;[14.47];0;1;100
SAN BERNARDO DEL VIENTO;2025;[14.47];0;1;100
SAN CARLOS;2021;[162.46197674];646446.05;0.22;22
SAN CARLOS;2022;[162.46196429];538705.04;0.29;29
SAN CARLOS;2023;[162.46196233];461747.18;0.35;35
SAN CARLOS;2024;[162.46196391];404028.78;0.42;42
SAN CARLOS;2025;[162.46196667];359136.69;0.5;50
SAN CARLOS DE GUAROA;2021;[-13.5];0;1;100
SAN CARLOS DE GUAROA;2022;[-13.5];0;1;100
SAN CARLOS DE GUAROA;2023;[-13.5];0;1;100
SAN CARLOS DE GUAROA;2024;[-13.5];0;1;100
SAN CARLOS DE GUAROA;2025;[-13.5];0;1;100
SAN ESTANISLAO;2021;[0.];0;1;100
SAN ESTANISLAO;2022;[0.];0;1;100
SAN ESTANISLAO;2023;[0.];0;1;100
SAN ESTANISLAO;2024;[0.];0;1;100
SAN ESTANISLAO;2025;[0.];0;1;100
SAN GIL;2021;[65.36];35133.97;0.33;33
SAN GIL;2022;[65.35993023];28107.17;0.44;44
SAN GIL;2023;[65.35991304];23422.65;0.55;55
SAN GIL;2024;[65.35991304];20076.55;0.55;55
SAN GIL;2025;[65.35991892];17566.98;0.63;63
SAN JOSE DE URE;2021;[0.];0;1;100
SAN JOSE DE URE;2022;[0.];0;1;100
SAN JOSE DE URE;2023;[0.];0;1;100
SAN JOSE DE URE;2024;[0.];0;1;100
SAN JOSE DE URE;2025;[0.];0;1;100
SAN JOSE DEL GUAVIARE;2025;[-2.75250811];40.7;0.5;50
SAN JOSE DEL GUAVIARE;2023;[-4.00321429];34.52;0.62;62
SAN JOSE DEL GUAVIARE;2024;[-4.00325472];27.61;0.71;71
SAN JOSE DEL GUAVIARE;2021;[-6.46666667];0;1;100
SAN JOSE DEL GUAVIARE;2022;[-6.46673077];0;1;100
SAN JUAN DE RIOSECO;2023;[-2.6147292e-32];0;0.6;60
SAN JUAN DE RIOSECO;2021;[0.];0;1;100
SAN JUAN DE RIOSECO;2022;[0.];0;1;100
SAN JUAN DE RIOSECO;2024;[0.];0;1;100
SAN JUAN DE RIOSECO;2025;[0.];0;1;100
SAN LUIS DE SINCE;2021;[0.];0;1;100
SAN LUIS DE SINCE;2022;[0.];0;1;100
SAN LUIS DE SINCE;2023;[0.];0;1;100
SAN LUIS DE SINCE;2024;[0.];0;1;100
SAN LUIS DE SINCE;2025;[0.];0;1;100
SAN MARCOS;2021;[0.];0;1;100
SAN MARCOS;2022;[0.];0;1;100
SAN MARCOS;2023;[0.];0;1;100
SAN MARCOS;2024;[0.];0;1;100
SAN MARCOS;2025;[0.];0;1;100
SAN MARTIN;2021;[0.];0;1;100
SAN MARTIN;2022;[0.];0;1;100
SAN MARTIN;2023;[0.];0;1;100
SAN MARTIN;2024;[0.];0;1;100
SAN MARTIN;2025;[0.];0;1;100
SAN ONOFRE;2021;[0.];0;1;100
SAN ONOFRE;2022;[0.];0;1;100
SAN ONOFRE;2023;[0.];0;1;100
SAN ONOFRE;2024;[0.];0;1;100
SAN ONOFRE;2025;[0.];0;1;100
SAN PEDRO;2021;[-18.01976744];15108.02;0.17;17
SAN PEDRO;2022;[-18.01975];12590.02;0.21;21
SAN PEDRO;2023;[-18.0197637];10791.44;0.25;25
SAN PEDRO;2024;[-18.01978556];9442.51;0.3;30
SAN PEDRO;2025;[-18.01980833];8393.34;0.36;36
SAN PEDRO DE LOS MILAGROS;2021;[13.003];31.64;0.93;93
SAN PEDRO DE LOS MILAGROS;2022;[13.00306977];25.31;0.96;96
SAN PEDRO DE LOS MILAGROS;2023;[13.00308696];21.09;0.97;97
SAN PEDRO DE LOS MILAGROS;2024;[13.00308696];18.08;0.98;98
SAN PEDRO DE LOS MILAGROS;2025;[13.00308108];15.82;0.99;99
SAN RAFAEL;2021;[174.40697674];925248.75;0.2;20
SAN RAFAEL;2022;[174.40696429];771040.63;0.26;26
SAN RAFAEL;2023;[174.40696233];660891.97;0.32;32
SAN RAFAEL;2024;[174.40696391];578280.47;0.38;38
SAN RAFAEL;2025;[174.40696667];514027.09;0.44;44
SAN ROQUE;2021;[1.08769231];21.76;0.24;24
SAN ROQUE;2022;[1.08764706];16.32;0.34;34
SAN ROQUE;2023;[1.08767164];13.06;0.43;43
SAN ROQUE;2025;[1.08767819];9.33;0.5;50
SAN ROQUE;2024;[1.08770815];10.88;0.51;51
SAN SEBASTIAN DE MARIQUITA;2022;[-5.03808824];107.24;0.5;50
SAN SEBASTIAN DE MARIQUITA;2023;[-5.03808209];85.79;0.61;61
SAN SEBASTIAN DE MARIQUITA;2024;[-5.03807296];71.49;0.7;70
SAN SEBASTIAN DE MARIQUITA;2025;[-5.03806383];61.28;0.76;76
SAN SEBASTIAN DE MARIQUITA;2021;[-9.88230769];4.69;0.98;98
SAN VICENTE DE CHUCURI;2021;[0.];0;1;100
SAN VICENTE DE CHUCURI;2022;[0.];0;1;100
SAN VICENTE DE CHUCURI;2023;[0.];0;1;100
SAN VICENTE DE CHUCURI;2024;[0.];0;1;100
SAN VICENTE DE CHUCURI;2025;[0.];0;1;100
SANTA ANA;2021;[0.];0;1;100
SANTA ANA;2022;[0.];0;1;100
SANTA ANA;2023;[0.];0;1;100
SANTA ANA;2024;[0.];0;1;100
SANTA ANA;2025;[0.];0;1;100
SANTA FE DE ANTIOQUIA;2024;[-8.68505797];1475.4;0.32;32
SANTA FE DE ANTIOQUIA;2022;[-12.76162791];1786.37;0.34;34
SANTA FE DE ANTIOQUIA;2025;[-8.68503153];1290.98;0.39;39
SANTA FE DE ANTIOQUIA;2023;[-12.76167702];1488.64;0.43;43
SANTA FE DE ANTIOQUIA;2021;[-21.95];1728.75;0.51;51
SANTA MARTA;2021;[5.81069767];1207790.8;0.6;60
SANTA MARTA;2022;[5.81075];1006492.33;0.6;60
SANTA MARTA;2023;[5.8107911];862707.71;0.6;60
SANTA MARTA;2024;[5.81082378];754869.25;0.6;60
SANTA MARTA;2025;[5.81085];670994.89;0.6;60
SANTA ROSA DE CABAL;2021;[8.59872093];10479.18;0.12;12
SANTA ROSA DE CABAL;2022;[8.59867857];8732.65;0.14;14
SANTA ROSA DE CABAL;2023;[8.59868836];7485.13;0.16;16
SANTA ROSA DE CABAL;2024;[8.59871338];6549.49;0.18;18
SANTA ROSA DE CABAL;2025;[8.5986875];5821.77;0.2;20
SANTA ROSA DE OSOS;2021;[-1.481];3.09;0.64;64
SANTA ROSA DE OSOS;2022;[-1.48093023];2.47;0.75;75
SANTA ROSA DE OSOS;2023;[-1.48091304];2.06;0.83;83
SANTA ROSA DE OSOS;2024;[-1.48091304];1.77;0.87;87
SANTA ROSA DE OSOS;2025;[-1.48091892];1.55;0.91;91
SANTA ROSALIA;2021;[0.];0;1;100
SANTA ROSALIA;2022;[0.];0;1;100
SANTA ROSALIA;2023;[0.];0;1;100
SANTA ROSALIA;2024;[0.];0;1;100
SANTA ROSALIA;2025;[0.];0;1;100
SANTANDER DE QUILICHAO;2021;[-161.04534884];111958.66;0.54;54
SANTANDER DE QUILICHAO;2025;[-118.51927917];107000.64;0.54;54
SANTANDER DE QUILICHAO;2022;[-161.04532143];93298.88;0.56;56
SANTANDER DE QUILICHAO;2023;[-161.04528425];79970.47;0.66;66
SANTANDER DE QUILICHAO;2024;[-161.04531423];69974.16;0.73;73
SANTO DOMINGO;2021;[19.95];280.29;0.69;69
SANTO DOMINGO;2022;[19.95];210.22;0.81;81
SANTO DOMINGO;2023;[19.95];168.18;0.88;88
SANTO DOMINGO;2024;[19.95];140.15;0.92;92
SANTO DOMINGO;2025;[19.95];120.13;0.94;94
SANTO TOMAS;2021;[0.];0;1;100
SANTO TOMAS;2022;[0.];0;1;100
SANTO TOMAS;2023;[0.];0;1;100
SANTO TOMAS;2024;[0.];0;1;100
SANTO TOMAS;2025;[0.];0;1;100
SARAVENA;2021;[78.19651163];27669.23;0.53;53
SARAVENA;2022;[78.19646429];23057.69;0.55;55
SARAVENA;2023;[78.19648973];19763.73;0.65;65
SARAVENA;2024;[78.19646921];17293.27;0.72;72
SARAVENA;2025;[78.1964875];15371.79;0.78;78
SASAIMA;2024;[-0.4338];1.28;0.33;33
SASAIMA;2022;[-0.8675];1.51;0.35;35
SASAIMA;2025;[-0.43377143];1.07;0.44;44
SASAIMA;2023;[-0.8675];1.13;0.55;55
SASAIMA;2021;[-3.47];0;1;100
SEGOVIA;2021;[0.];0;1;100
SEGOVIA;2022;[0.];0;1;100
SEGOVIA;2023;[0.];0;1;100
SEGOVIA;2024;[0.];0;1;100
SEGOVIA;2025;[0.];0;1;100
SESQUILE;2021;[6.05744186];5557.8;0.12;12
SESQUILE;2022;[6.05746429];4631.5;0.14;14
SESQUILE;2023;[6.05743493];3969.86;0.15;15
SESQUILE;2024;[6.0574586];3473.63;0.17;17
SESQUILE;2025;[6.05744583];3087.67;0.2;20
SEVILLA;2022;[-12.17564655];3153.56;0.28;28
SEVILLA;2024;[-8.25706897];2520.63;0.28;28
SEVILLA;2025;[-8.2570579];2205.55;0.34;34
SEVILLA;2023;[-12.17566102];2627.97;0.37;37
SEVILLA;2021;[-32.28285714];2522;0.57;57
SIACHOQUE;2021;[0.];0;1;100
SIACHOQUE;2022;[0.];0;1;100
SIACHOQUE;2023;[0.];0;1;100
SIACHOQUE;2024;[0.];0;1;100
SIACHOQUE;2025;[0.];0;1;100
SIBATE;2022;[-334.43057143];4242200.14;0.21;21
SIBATE;2023;[-334.43054795];3636171.55;0.25;25
SIBATE;2025;[-246.119975];3021333.49;0.25;25
SIBATE;2021;[-544.42186047];4697366.13;0.28;28
SIBATE;2024;[-334.43056688];3181650.1;0.31;31
SILVANIA;2021;[0.];0;1;100
SILVANIA;2022;[0.];0;1;100
SILVANIA;2023;[2.71025827e-30];0;1;100
SILVANIA;2024;[0.];0;1;100
SILVANIA;2025;[0.];0;1;100
SIMIJACA;2021;[7.5];0;1;100
SIMIJACA;2022;[7.5];0;1;100
SIMIJACA;2023;[7.5];0;1;100
SIMIJACA;2024;[7.5];0;1;100
SIMIJACA;2025;[7.5];0;1;100
SINCELEJO;2021;[-219.59686047];16729721.23;0.11;11
SINCELEJO;2022;[-219.59689286];13941434.35;0.12;12
SINCELEJO;2023;[-219.59691438];11949800.88;0.12;12
SINCELEJO;2024;[-219.59692994];10456075.77;0.13;13
SINCELEJO;2025;[-219.59694167];9294289.57;0.14;14
SITIONUEVO;2021;[48.5];133.39;0.92;92
SITIONUEVO;2022;[48.50006024];100.04;0.99;99
SITIONUEVO;2023;[48.5000567];80.03;1;100
SITIONUEVO;2024;[48.50005172];66.69;1;100
SITIONUEVO;2025;[48.50004676];57.17;1;100
SOACHA;2021;[6969.00418605];11859228.72;0.93;93
SOACHA;2022;[6969.00417857];9882690.6;0.96;96
SOACHA;2023;[6969.00416096];8470877.65;0.97;97
SOACHA;2024;[6969.00414225];7412017.95;0.98;98
SOACHA;2025;[6969.004125];6588460.4;0.98;98
SOATA;2021;[642.1];0;1;100
