DEPARTAMENTO;ANNO;Coefficients;Mean squared error;Variance score;;;
TOLIMA;2021;[761.67485714];4088675.4;0.39;39;;
TOLIMA;2022;[761.67489286];3504578.91;0.5;50;;
TOLIMA;2024;[761.67493333];2725783.6;0.59;59;;
TOLIMA;2023;[761.67491667];3066506.55;0.6;60;;
TOLIMA;2025;[761.67494545];2453205.24;0.66;66;;
VALLE DEL CAUCA;2021;[10433.06771429];409908113.6;0.44;44;;
VALLE DEL CAUCA;2022;[10433.06771429];351349811.7;0.55;55;;
VALLE DEL CAUCA;2023;[10433.0677381];307431085.2;0.65;65;;
VALLE DEL CAUCA;2024;[10433.06776667];273272075.7;0.73;73;;
VALLE DEL CAUCA;2025;[10433.06773939];245944868.2;0.79;79;;
VAUPES;2021;[15.41666667];0;1;100;;
VAUPES;2022;[15.41673077];0;1;100;;
VAUPES;2023;[15.41678571];0;1;100;;
VAUPES;2024;[15.41683019];0;1;100;;
VAUPES;2025;[15.41686486];0;1;100;;
VICHADA;2021;[11.5];29.39;0.75;75;;
VICHADA;2022;[11.5001];22.04;0.88;88;;
VICHADA;2023;[11.5001];17.63;0.94;94;;
VICHADA;2024;[11.50008571];14.69;0.96;96;;
VICHADA;2025;[11.50007143];12.6;0.98;98;;
;;;;0.630657895;63.06578947;;
;;;;0.646;;;
;;;;;;0.675;67.5
